Actual Value,Predicted Value,Row
2754230.0,2959108.75,726
3358036.0,3227700.5,738
3566713.0,3370844.5,746
3006735.0,2804726.25,755
3827706.0,3382121.75,760
2845810.0,2864436.5,764
3231640.0,3143513.25,767
2969960.0,3022190.25,772
3450906.0,3400392.5,774
2770728.0,2912714.75,792
2571240.0,2547427.5,801
2633635.0,3115154.25,809
3188960.0,2776878.5,810
2787370.0,2381689.25,813
2677150.0,2628057.0,814
3069729.0,3011190.75,821
2606220.0,2560057.75,836
3305446.0,2696731.5,851
2616575.0,2698977.75,852
2296088.0,2865587.0,861
2611460.0,3284066.0,865
3379770.0,3636771.25,879
4177678.0,3085120.25,886
2244440.0,2579877.0,894
2241960.0,2421567.0,897
2760745.0,2390579.5,903
2447640.0,2555609.75,904
2733090.0,2698090.25,905
3831154.0,3267422.5,907
2709130.0,2807563.75,915
2813118.0,2827677.0,919
2854695.0,2631621.25,926
2467320.0,2720997.0,937
2872709.0,2755599.0,939
2261575.0,2562876.5,948
2627070.0,2552859.0,949
2391180.0,2436030.0,953
2637109.0,2879767.0,956
2583345.0,2541034.5,959
3471378.0,3032836.25,976
2769449.0,2023554.75,977
2386750.0,2826088.75,989
2479683.0,2662166.25,990
2698320.0,3034667.0,991
2382780.0,2542366.75,992
3117389.0,2887090.0,1003
3235720.0,3301659.25,1011
2811585.0,2779155.0,1014
3183860.0,3295454.25,1019
2235011.0,2774700.25,1021
